text,label,original_label
Says the Annies List political group supports third-trimester abortions on demand.,1,0
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,0,1
Health care reform legislation is likely to mandate free sex change surgeries.,1,0
The economic turnaround started at the end of my term.,0,1
"""I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.""",0,1
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",0,1
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",0,1
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",1,0
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",0,1
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",0,1
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,1,0
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",0,1
I dont know who (Jonathan Gruber) is.,1,0
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,0,1
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",1,0
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,1,0
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,1,0
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,0,1
"""We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' """,1,0
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,0,1
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,1,0
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,1,0
"In Georgia, women earn 82 cents for every dollar earned by men.",0,1
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,0,1
"""Sen. Obama's campaign announced that he's choosing his cabinet.""",1,0
Only 2 percent of public high schools in the country offer PE classes.,1,0
"Under Mayor Cicilline, [Providence] was a sanctuary city.",1,0
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",1,0
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,1,0
Says Charlie Crist supports cuts to the Medicare Advantage program.,1,0
